id,account,datetime,speed,vehicle_distance,deviate
1,ailab01,2016/8/5 10:00,20,20,0
2,ailab01,2016/8/5 10:00,20,20,0
3,ailab01,2016/8/5 10:00,20,20,0.1
4,ailab01,2016/8/5 10:00,20,20,0.08
5,ailab01,2016/8/5 10:00,20,20,0
6,ailab01,2016/8/5 10:00,20,20,-0.12
7,ailab01,2016/8/5 10:00,20,20,0
8,ailab01,2016/8/5 10:00,20,20,0.09
9,ailab01,2016/8/5 10:00,20,20,0
10,ailab01,2016/8/5 10:00,20,20,0.1
11,ailab01,2016/8/5 10:00,20,20,0
12,ailab01,2016/8/5 10:00,20,20,0.23
13,ailab01,2016/8/5 10:00,20,20,0
14,ailab01,2016/8/5 10:00,20,20,-0.13
15,ailab01,2016/8/5 10:00,20,20,-0.3
16,ailab01,2016/8/5 10:00,20,20,-0.45
17,ailab01,2016/8/5 10:00,20,20,-0.34
18,ailab01,2016/8/5 10:00,20,20,-0.2
19,ailab01,2016/8/5 10:00,20,20,0
20,ailab01,2016/8/5 10:00,20,20,-0.21
21,ailab01,2016/8/5 10:00,20,20,-0.17
22,ailab01,2016/8/5 10:00,20,20,-0.1
23,ailab01,2016/8/5 10:00,20,20,-0.5
24,ailab01,2016/8/5 10:00,20,20,-0.1
25,ailab01,2016/8/5 10:00,20,20,-0.12
26,ailab01,2016/8/5 10:00,20,20,0.3
27,ailab01,2016/8/5 10:00,20,20,0
28,ailab01,2016/8/5 10:00,20,20,0.1
29,ailab01,2016/8/5 10:00,20,20,0.13
30,ailab01,2016/8/5 10:00,20,20,0.1
31,ailab01,2016/8/5 10:00,20,20,-0.2
32,ailab01,2016/8/5 10:00,20,20,-0.5
33,ailab01,2016/8/5 10:00,20,20,0.13
34,ailab01,2016/8/5 10:00,20,20,-0.4
35,ailab01,2016/8/5 10:00,20,20,0
36,ailab01,2016/8/5 10:00,20,20,0
37,ailab01,2016/8/5 10:00,20,20,0.6
38,ailab01,2016/8/5 10:00,20,20,0.8
39,ailab01,2016/8/5 10:00,20,20,0.7
40,ailab01,2016/8/5 10:00,20,20,0.3
41,ailab01,2016/8/5 10:00,21,20,
42,ailab01,2016/8/5 10:00,22,20,
43,ailab01,2016/8/5 10:00,23,20,
44,ailab01,2016/8/5 10:00,24,20,
45,ailab01,2016/8/5 10:00,25,20,
46,ailab01,2016/8/5 10:00,26,20,
47,ailab01,2016/8/5 10:00,27,20,
48,ailab01,2016/8/5 10:00,28,20,
49,ailab01,2016/8/5 10:00,29,20,
50,ailab01,2016/8/5 10:00,30,20,
51,ailab01,2016/8/5 10:00,31,20,
52,ailab01,2016/8/5 10:00,32,20,
53,ailab01,2016/8/5 10:00,33,20,
54,ailab01,2016/8/5 10:00,34,20,
55,ailab01,2016/8/5 10:00,35,20,
56,ailab01,2016/8/5 10:00,36,20,
57,ailab01,2016/8/5 10:00,37,20,
58,ailab01,2016/8/5 10:00,38,20,
59,ailab01,2016/8/5 10:00,39,20,
60,ailab01,2016/8/5 10:00,40,20,
61,ailab01,2016/8/5 10:00,41,20,
62,ailab01,2016/8/5 10:00,42,20,
63,ailab01,2016/8/5 10:00,43,20,
64,ailab01,2016/8/5 10:00,44,20,
65,ailab01,2016/8/5 10:00,45,20,
66,ailab01,2016/8/5 10:00,46,20,
67,ailab01,2016/8/5 10:00,47,19,
68,ailab01,2016/8/5 10:00,48,18,
69,ailab01,2016/8/5 10:00,49,17,
70,ailab01,2016/8/5 10:00,50,16,
71,ailab01,2016/8/5 10:00,51,15,
72,ailab01,2016/8/5 10:00,52,14,
73,ailab01,2016/8/5 10:00,53,13,
74,ailab01,2016/8/5 10:00,54,12,
75,ailab01,2016/8/5 10:00,55,12,
76,ailab01,2016/8/5 10:00,56,12,
77,ailab01,2016/8/5 10:00,57,12,
78,ailab01,2016/8/5 10:00,58,12,
79,ailab01,2016/8/5 10:00,59,12,
